userId,movieId,timestamp
139,5957,1453925221
160,2329,976798849
400,47099,1498870198
587,3451,953137416
600,256,1237707879
1,1224,964984018
28,3252,1242032417
586,318,1529899248
414,58293,1273978054
136,163,832449637
548,3916,1488825192
480,2054,1179178215
373,1,846830172
497,2959,1429127728
8,356,839463527
522,2858,1253343711
27,2012,965150068
239,46530,1221159181
249,2605,1440669070
298,8810,1447598630
387,5481,1168153477
184,122922,1537108247
453,110,972621723
68,54997,1208744668
18,8641,1455060196
143,3421,1444768946
18,53125,1455231338
599,1036,1498498596
42,2376,996259254
325,1884,1039397773
41,81845,1459367496
274,1848,1172024390
62,3949,1521488888
510,1304,1141158793
399,1,1167220428
521,805,852713294
292,49530,1293562710
609,10,847220937
235,344,841422329
605,46972,1277176500
249,58293,1415415643
206,32,850763267
181,490,845470680
562,529,1368893705
177,1203,1435534495
418,593,1461865700
195,111,994276257
585,1805,1307416322
599,72226,1498521693
274,5679,1172008088
607,2080,964744628
590,32,1258420444
239,48385,1221158482
519,4447,1518478841
220,5989,1230060280
429,266,828124616
517,898,1487957269
471,1,1496671820
610,5349,1479542641
113,3556,980051421
405,1215,1295923644
606,48783,1178473624
274,47,1171172762
451,474,854285151
299,1258,974620404
21,58998,1441393230
288,765,980535650
577,1275,945965886
525,68358,1476475953
80,63113,1377308497
381,8972,1167542983
380,5957,1494528677
306,8961,1518380212
51,2872,1230930257
573,1080,1186721839
336,4973,1120568518
321,153,843212390
104,1513,1048587616
352,81834,1493674211
484,6708,1342297586
263,3897,1090948162
68,2581,1158535103
499,2083,1289959931
493,332,1001562535
295,1020,1320064473
305,31685,1460136256
125,5617,1474412496
39,1270,974787510
364,9,869443802
177,1027,1435978323
334,6016,1225478541
254,1089,1180447535
606,858,1171234955
370,4973,1159161964
469,2642,965334973
17,296,1305696455
446,377,843839250
68,70293,1293500145
536,457,832839906
259,4993,1146845341
20,2300,1054147430
353,186,831939806
75,541,1158989785
103,3735,1431969685
387,1282,1094877252
566,364,849005578
28,1256,1243837314
414,7265,1128977169
231,589,1433089491
468,318,831400444
68,3981,1269122295
445,4022,1454621732
351,1721,1326106611
564,61132,1478451781
183,1970,992331144
580,839,1167675005
18,55247,1455231983
448,3552,1323105296
438,849,1105667291
380,2533,1494804710
221,2110,1111176285
580,508,1167790028
341,109374,1440878182
610,51077,1493846204
534,60684,1459787996
294,2010,966594786
555,2133,978745928
469,2779,965425677
476,337,835021592
603,2580,953926088
177,2722,1435978335
603,1380,953927040
151,786,855947242
477,2300,1200939263
136,454,832449705
91,160,1112713458
232,4023,1218168010
453,4034,1005965432
275,1221,1049079110
339,99114,1460182087
354,2324,1200870723
144,2728,1136813082
607,2995,963079911
57,552,965797549
518,1215,1056907496
182,3300,1054780055
464,377,1287399772
448,3267,1064153466
64,3396,1161565767
570,4306,1181477611
419,1090,1321766180
237,31410,1410632592
600,2628,1237712907
280,48516,1348436408
307,40819,1189457674
188,1086,962560423
6,708,845554376
546,2533,973588592
239,2011,1221158556
412,2528,939563055
89,1080,1520408299
223,260,1226209871
76,1220,1439168770
599,68157,1498500693
69,1101,1021645224
111,7439,1516144232
525,2396,1476478299
462,1189,1201445750
265,1263,965316627
182,1584,1054779865
226,2423,1095663794
391,2028,1030824520
203,590,1390095352
361,49272,1204048367
414,3489,1034001626
